Date,RLR
1885-02-01, 6878.
1885-03-01, 6833.
1885-04-01, 6850.
1885-05-01, 6841.
1885-06-01, 6808.
1885-07-01, 6819.
1885-08-01, 6872.
1885-09-01, 6825.
1885-10-01, 6877.
1885-11-01, 6941.
1885-12-01, 6816.
1886-01-01, 6885.
1886-02-01, 6799.
1886-03-01, 6788.
1886-04-01, 6792.
1886-05-01, 6810.
1886-06-01, 6830.
1886-07-01, 6805.
1886-08-01, 6823.
1886-09-01, 6847.
1886-10-01, 6904.
1886-11-01, 6936.
1886-12-01, 6947.
1887-01-01, 6819.
1887-02-01, 6715.
1887-03-01, 6740.
1887-04-01, 6825.
1887-05-01, 6792.
1887-06-01, 6816.
1887-07-01, 6843.
1887-08-01, 6853.
1887-09-01, 6856.
1887-10-01, 6868.
1887-11-01, 7024.
1887-12-01, 6906.
1888-01-01, 6794.
1888-02-01, 6879.
1888-03-01, 6918.
1888-04-01, 6874.
1888-05-01, 6810.
1888-06-01, 6812.
1888-07-01, 6822.
1888-08-01, 6803.
1888-09-01, 6854.
1888-10-01, 6865.
1888-11-01, 6902.
1888-12-01, 6887.
1889-01-01, 6837.
1889-02-01, 6791.
1889-03-01, 6895.
1889-04-01, 6869.
1889-05-01, 6876.
1889-06-01, 6872.
1889-07-01, 6799.
1889-08-01, 6793.
1889-09-01, 6822.
1889-10-01, 6968.
1889-11-01, 6781.
1889-12-01, 6791.
1890-01-01, 6760.
1890-02-01, 6805.
1890-03-01, 6816.
1890-04-01, 6894.
1890-05-01, 6898.
1890-06-01, 6755.
1890-07-01, 6765.
1890-08-01, 6784.
1890-09-01, 6776.
1890-10-01, 6766.
1890-11-01, 6882.
1890-12-01, 6968.
1891-01-01, 6813.
1891-02-01, 6666.
1891-03-01, 6838.
1891-04-01, 6828.
1891-05-01, 6883.
1891-06-01, 6852.
1891-07-01, 6814.
1891-08-01, 6791.
1891-09-01, 6793.
1891-10-01, 6928.
1891-11-01, 6990.
1891-12-01, 6810.
1892-01-01, 6895.
1892-02-01, 6913.
1892-03-01, 6891.
1892-04-01, 6830.
1892-05-01, 6838.
1892-06-01, 6816.
1892-07-01, 6828.
1892-08-01, 6848.
1892-09-01, 6791.
1892-10-01, 6937.
1892-11-01, 6902.
1892-12-01, 6828.
1893-01-01, 6891.
1893-02-01, 6820.
1893-03-01, 6773.
1893-04-01, 6795.
1893-05-01, 6861.
1893-06-01, 6828.
1893-07-01, 6827.
1893-08-01, 6833.
1893-09-01, 6890.
1893-10-01, 6890.
1893-11-01, 6986.
1893-12-01, 6858.
1894-01-01, 6826.
1894-02-01, 6713.
1894-03-01, 6760.
1894-04-01, 6831.
1894-05-01, 6854.
1894-06-01, 6793.
1894-07-01, 6809.
1894-08-01, 6797.
1894-09-01, 6836.
1894-10-01, 6930.
1894-11-01, 6888.
1894-12-01, 6873.
1895-01-01, 7038.
1895-02-01, 6946.
1895-03-01, 6876.
1895-04-01, 6886.
1895-05-01, 6813.
1895-06-01, 6848.
1895-07-01, 6853.
1895-08-01, 6811.
1895-09-01, 6800.
1895-10-01, 6941.
1895-11-01, 6928.
1895-12-01, 6938.
1896-01-01, 6793.
1896-02-01, 6711.
1896-03-01, 6751.
1896-04-01, 6761.
1896-05-01, 6827.
1896-06-01, 6862.
1896-07-01, 6836.
1896-08-01, 6842.
1896-09-01, 6831.
1896-10-01, 6930.
1896-11-01, 6988.
1896-12-01, 6982.
1897-01-01, 6955.
1897-02-01, 6792.
1897-03-01, 6815.
1897-04-01, 6833.
1897-05-01, 6886.
1897-06-01, 6850.
1897-07-01, 6873.
1897-08-01, 6829.
1897-09-01, 6815.
1897-10-01, 6907.
1897-11-01, 6818.
1897-12-01, 6830.
1898-01-01, 6752.
1898-02-01, 6785.
1898-03-01, 6919.
1898-04-01, 6871.
1898-05-01, 6884.
1898-06-01, 6878.
1898-07-01, 6832.
1898-08-01, 6809.
1898-09-01, 6835.
1898-10-01, 7005.
1898-11-01, 7045.
1898-12-01, 6848.
1899-01-01, 6862.
1899-02-01, 6898.
1899-03-01, 6787.
1899-04-01, 6837.
1899-05-01, 6853.
1899-06-01, 6852.
1899-07-01, 6847.
1899-08-01, 6873.
1899-09-01, 6899.
1899-10-01, 6947.
1899-11-01, 6872.
1899-12-01, 6987.
1900-01-01, 6910.
1900-02-01, 7038.
1900-03-01, 6911.
1900-04-01, 6831.
1900-05-01, 6936.
